Text,Word Number,Line Start,Line End,Normalized,Language,Number
rehn0001.xml,1,2,2,+,grc,0
rehn0001.xml,2,2,2,επὶ,grc,0
rehn0001.xml,3,2,2,τοῦἁγιωτάτου,grc,0
rehn0001.xml,4,2,2,καἰ,grc,0
rehn0001.xml,5,2,2,ὡσιωτἀτουἐπ,grc,0
rehn0001.xml,6,2,2,ισκόπου,grc,0
rehn0001.xml,7,3,3,καὶ,grc,0
rehn0001.xml,8,3,3,ἐπὶ,grc,0
rehn0001.xml,9,3,3,στεφάνου,grc,0
rehn0001.xml,10,3,3,σολἐγένετο,grc,0
rehn0001.xml,11,4,4,τοῦτο,grc,0
rehn0001.xml,12,4,4,τὸ,grc,0
rehn0001.xml,13,4,4,ἔργον,grc,0
rehn0001.xml,14,4,4,ἔτοθς,grc,0
rehn0001.xml,15,4,4,υμἐ,grc,0
rehn0001.xml,16,4,4,υμθ,grc,0
