Text,Word Number,Line Start,Line End,Normalized,Language,Number
unkn0106.xml,1,2,2,ער,arc,0
unkn0106.xml,2,2,2,ו,arc,0
unkn0106.xml,3,2,2,בת,arc,0
unkn0106.xml,4,2,2,שבתא,arc,0
unkn0106.xml,5,2,2,4,arc,0
unkn0106.xml,6,2,2,לא,arc,0
unkn0106.xml,7,3,3,יום,arc,0
unkn0106.xml,8,3,3,שבתא,arc,0
unkn0106.xml,9,3,3,בצ,arc,0
unkn0106.xml,10,3,3,פ,arc,0
unkn0106.xml,11,3,3,ר,arc,0
unkn0106.xml,12,3,3,א,arc,0
unkn0106.xml,13,4,4,ולר,arc,0
unkn0106.xml,14,4,4,מ,arc,0
unkn0106.xml,15,4,4,ש,arc,0
unkn0106.xml,16,4,4,א,arc,0
unkn0106.xml,17,4,4,בכ,arc,0
unkn0106.xml,18,4,4,ל,arc,0
unkn0106.xml,19,4,4,הר,arc,0
unkn0106.xml,20,5,5,בשבה,arc,0
unkn0106.xml,21,5,5,6,arc,0
unkn0106.xml,22,6,6,ל,arc,0
unkn0106.xml,23,6,6,ד,arc,0
