,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,fiqg0025.xml,1,1,1,διοκλητιανὸς,grc,0,,,,
1,fiqg0025.xml,2,2,2,καὶ,grc,0,,,,
2,fiqg0025.xml,3,2,2,μαξιμιανὸς,grc,0,,,,
3,fiqg0025.xml,4,3,3,σεβ,grc,0,,,,
4,fiqg0025.xml,5,3,3,αστοὶ,grc,0,,,,
5,fiqg0025.xml,6,3,3,καὶ,grc,0,,,,
6,fiqg0025.xml,7,4,4,κω,grc,0,,,,
7,fiqg0025.xml,8,4,4,νστάντιος,grc,0,,,,
8,fiqg0025.xml,9,5,5,καὶ,grc,0,,,,
9,fiqg0025.xml,10,5,5,μαξιμιανὸς,grc,0,,,,
10,fiqg0025.xml,11,6,6,ἐπιφανέστατοι,grc,0,,,,
11,fiqg0025.xml,12,7,7,καίσαρες,grc,0,,,,
12,fiqg0025.xml,13,8,8,λίθον,grc,0,,,,
13,fiqg0025.xml,14,8,8,διορίζοντα,grc,0,,,,
