,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,iopp0004.xml,1,1,1,τόποσ,grc,0,,,,
1,iopp0004.xml,2,1,1,ιακω,grc,0,,,,
2,iopp0004.xml,3,2,2,δεϲ,grc,0,,,,
3,iopp0004.xml,4,2,2,υἱοῦ,grc,0,,,,
4,iopp0004.xml,5,2,2,ο,grc,0,,,,
5,iopp0004.xml,6,3,3,λυμπίου,grc,0,,,,
6,iopp0004.xml,7,3,3,αλε,grc,0,,,,
7,iopp0004.xml,8,4,4,ξανδρέοσ,grc,0,,,,
8,iopp0004.xml,9,4,4,κο,grc,0,,,,
9,iopp0004.xml,10,5,5,χαδων,grc,0,,,,
10,iopp0004.xml,11,5,5,ἔτων,grc,0,,,,
11,iopp0004.xml,12,5,5,ξγ,grc,0,,,,
