,Unnamed: 0,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma,Lemmatizer Lemma
0,0,sepp0013.xml,1,1,1,παρηγόριος,grc,0,,,,,
1,1,sepp0013.xml,2,1,1,ὁ,grc,0,,,,,
2,2,sepp0013.xml,3,1,1,καὶ,grc,0,,,,,
3,3,sepp0013.xml,4,1,1,κὲ,grc,0,,,,,
4,4,sepp0013.xml,5,1,1,οἱ,grc,0,,,,,
5,5,sepp0013.xml,6,1,1,υἱοὶ,grc,0,,,,,
6,6,sepp0013.xml,7,1,1,ἀλαφέου,grc,0,,,,,
7,7,sepp0013.xml,8,1,1,κὲ,grc,0,,,,,
8,8,sepp0013.xml,9,1,1,ἀλα,grc,0,,,,,
9,9,sepp0013.xml,10,2,2,φεος,grc,0,,,,,
10,10,sepp0013.xml,11,2,2,παρηγορίου,grc,0,,,,,
11,11,sepp0013.xml,12,2,2,κὲ,grc,0,,,,,
12,12,sepp0013.xml,13,2,2,τὴν,grc,0,,,,,
13,13,sepp0013.xml,14,2,2,πάσαν,grc,0,,,,,
14,14,sepp0013.xml,15,2,2,τάβλαν,grc,0,,,,,
15,15,sepp0013.xml,16,2,2,ἐποίησαν,grc,0,,,,,
16,16,sepp0013.xml,17,2,3,ε,grc,0,,,,,
17,17,sepp0013.xml,18,3,3,ὐλογία,grc,0,,,,,
18,18,sepp0013.xml,19,3,3,αὐτοῖς,grc,0,,,,,
